course_code,programmes,study_year,semester,students,result_rows,credit_units,course_name_TO_FILL
BHII1305,BED(S),1,1,2,2,3,
BLLI3304,BED(S),3,1,1,1,3,
BREI2308,BED(S),2,1,1,1,3,
BREI2309,BED(S),2,1,1,1,3,
BREI2310,BED(S),2,1,1,1,3,
BEE 3103,BEE,3,1,3,3,0,
C,BEICT,1,2,1,1,0,
FND1101,BEICT,1,1,1,1,3,
ICT2115,BEICT,2,1,1,1,0,
ICT2205,BEICT,2,2,45,45,3,
ICT2221B,BEICT,2,2,1,1,0,
1CT2205B,BEICT,BIT,1,2,2,2,0,
D,BEICT,BIT,DIT,1,2,13,13,3,
MGT1101,BEICT,BPA,1,1,2,2,0,
BBG1105,BGC,1,1,1,1,3,
BGC1207,BGC,1,2,7,7,3,
BGC1209,BGC,1,2,3,3,0,
BGC2107,BGC,2,1,3,3,3,
BGG 2101,BHRM,2,1,1,1,0,
BIFA310,BIFA,3,1,3,3,3,
BMM1105,BIFA,1,1,4,4,3,
FAD 2207B,BIFA,2,1,1,1,0,
FAD1107B,BIFA,1,1,1,1,0,
FAD2102,BIFA,2,1,1,1,0,
FND1107B,BIFA,1,1,1,1,0,
F,BIFA,BIT,DCE,DIT,1,1,13,13,3,
FAD1202,BIFA,DAD,1,2,3,3,0,
 BIT1102,BIT,1,1,11,11,0,
1CT2207B,BIT,1,2,1,1,0,
BCS 110,BIT,1,1,12,12,0,
BH1201,BIT,1,2,11,11,3,
BIT2109S,BIT,2,1,3,3,3,
FND1108B,BIT,1,1,4,4,3,
ICT1201,BIT,1,2,3,3,0,
ICT2107,BIT,2,1,1,1,0,
BHC 1201,BLIS,1,2,1,1,0,
BLS 1206,BLIS,1,2,1,1,0,
BLS111,BLIS,1,1,1,1,3,
BMC 1209,BMC,1,2,22,22,0,
BMC 2105,BMC,2,1,3,3,0,
BMC 3101,BMC,3,1,1,1,0,
BMC1101:,BMC,1,1,11,11,0,
BMC2016,BMC,2,1,15,15,3,
BMC2210,BMC,2,2,1,1,3,
BMC3201:,BMC,3,2,2,2,3,
BMC:2203,BMC,2,2,31,31,3,
FIN201,BPA,2,2,43,43,0,
2,BPLM,1,1,1,1,0,
BPLM,BPLM,1,2,1,1,0,
FND 1101B,BPLM,1,1,1,1,0,
PRC12023B,BPLM,1,2,2,2,0,
BSAF 120,BSAF,1,2,3,3,0,
H,BSAF,1,2,1,1,0,
PRC 2101B,BSAF,2,1,3,3,0,
ADM2107,BSM,2,1,1,1,0,
BHC1202,BTHM,1,2,3,3,3,
BVS,BVS,2,1,2,2,0,
FAD 1203B,BVS,1,2,1,1,0,
FAD1203,CAD,1,2,2,2,0,
CFD1105,CFD,1,1,1,1,3,
FAD1208C,CFD,1,2,1,1,0,
FAD1209C,CFD,1,2,1,1,0,
FAD1210C,CFD,1,2,1,1,0,
DAD 1104,DAD,1,2,5,5,0,
DADE2202,DAD,2,2,1,1,4,
DBM 1104,DAD,1,1,5,5,0,
DCS 1101,DAD,1,1,1,1,0,
DIT 1101,DAD,1,1,4,4,0,
FAD1205,DAD,1,2,2,2,0,
DADE1105,DADE,DES,1,1,51,51,3,
ICT2209D,DBC,2,2,1,1,0,
DBM 1101,DBM,1,1,1,1,0,
DBM 1102,DBM,1,1,1,1,0,
DBM2112,DBM,2,1,1,1,3,
DBM2130,DBM,2,1,2,2,3,
DBM2219,DBM,2,2,1,1,3,
DBM2221,DBM,2,2,3,3,3,
DBM3213,DBM,2,2,2,2,3,
ENG 2202D,DCE,2,2,1,1,0,
ODC1101,DCE,1,1,20,20,3,
ODC1103,DCE,1,1,22,22,3,
ODC1104,DCE,1,1,21,21,3,
ODC1105,DCE,1,1,21,21,3,
ODC1106,DCE,1,1,24,24,3,
ODC1108,DCE,1,1,9,9,3,
ODC1201,DCE,1,2,12,12,3,
ODC1202,DCE,1,2,12,12,3,
ODC1203,DCE,1,2,10,10,3,
ODC1204,DCE,1,2,12,12,3,
ODC1205,DCE,1,2,12,12,3,
ODC1206,DCE,1,2,14,14,3,
ODC1207,DCE,1,2,9,9,3,
ODC1208,DCE,1,2,2,2,3,
ODC1212,DCE,1,2,2,2,3,
ODC2101,DCE,2,1,8,8,3,
ODC2102,DCE,2,1,7,7,3,
ODC2103,DCE,2,1,7,7,3,
ODC2104,DCE,2,1,7,7,3,
ODC2106,DCE,2,1,5,5,3,
ODC2107,DCE,2,1,3,3,3,
ODC2108,DCE,2,1,8,8,3,
ODC2109,DCE,2,1,11,11,3,
ODC2110,DCE,2,1,3,3,3,
ODC2111,DCE,2,1,6,6,3,
ODC2112,DCE,2,1,2,2,3,
ODC2202,DCE,2,1,8,8,3,
ODC2203,DCE,2,2,7,7,3,
ODC2204,DCE,2,2,7,7,3,
ODC2205,DCE,2,2,7,7,3,
ODC2206,DCE,2,2,3,3,3,
ODC2207,DCE,2,2,4,4,0,
ODC2208,DCE,2,2,7,7,3,
ODC2210,DCE,2,2,7,7,3,
ODCE2201,DCE,2,2,1,1,3,
ODCE2202,DCE,2,2,1,1,3,
ODCE2203,DCE,2,2,1,1,3,
ODCE2204,DCE,2,2,1,1,3,
ODCE2205,DCE,2,2,1,1,3,
ODCE2208,DCE,2,2,1,1,3,
ODCE2212,DCE,2,2,1,1,3,
ODC1102,DCE,DEE,1,1,22,22,3,
ODC1107,DCE,DEE,1,1,26,26,3,
ODC2201,DCE,DEE,2,2,7,7,3,
ODC2211,DCE,DEE,2,2,5,5,0,
ODE1201,DCE,DEE,1,2,21,21,3,
ODE1202,DCE,DEE,1,2,21,21,3,
ODE1203,DCE,DEE,1,2,19,19,3,
ODE1204,DCE,DEE,1,2,21,21,3,
ODE1205,DCE,DEE,1,2,19,19,3,
ODE1206,DCE,DEE,1,2,18,18,3,
ODE1207,DCE,DEE,1,2,18,18,3,
ODE1209,DCE,DEE,1,2,18,18,3,
ODE2101,DCE,DEE,2,1,19,19,3,
ODE2102,DCE,DEE,2,1,17,17,3,
ODE2103,DCE,DEE,2,1,18,18,3,
ODE2105,DCE,DEE,2,1,18,18,3,
ODE2106,DCE,DEE,2,1,18,18,3,
ODE2108,DCE,DEE,2,1,17,17,3,
ODE2109,DCE,DEE,2,1,20,20,3,
ODE2110,DCE,DEE,2,1,6,6,3,
ODE2111,DCE,DEE,2,1,18,18,3,
ODE2201,DCE,DEE,2,2,17,17,3,
ODE2203,DCE,DEE,2,2,16,16,3,
ODE2205,DCE,DEE,2,2,15,15,3,
ODE2206,DCE,DEE,2,2,15,15,3,
ODE2208,DCE,DEE,2,2,16,16,3,
ODE2211,DCE,DEE,2,2,8,8,3,
ODE2212,DCE,DEE,2,2,5,5,3,
ODE1212,DCE,DEE,DME,1,2,13,13,3,
ODE2210,DCE,DEE,DME,2,2,13,13,3,
FND1108D,DCE,DME,1,1,17,17,3,
ODC1209,DCE,DME,1,2,15,15,3,
ODM1212,DCE,DME,1,2,3,3,3,
2112,DEE,2,1,2,2,0,
2112D,DEE,2,1,1,1,0,
ENG2017D,DEE,2,1,1,1,0,
MGT 1201D,DEE,2,2,1,1,0,
ODC1109,DEE,1,1,1,1,3,
ODE1101,DEE,1,1,25,25,3,
ODE1102,DEE,1,1,22,22,3,
ODE1103,DEE,1,1,25,25,3,
ODE1104,DEE,1,1,24,24,3,
ODE1105,DEE,1,1,20,20,3,
ODE1107,DEE,1,1,20,20,3,
ODE1108,DEE,1,1,16,16,3,
ODE1109,DEE,1,1,5,5,0,
ODE1111,DEE,1,1,5,5,0,
ODE1208,DEE,1,2,18,18,3,
ODE2104,DEE,2,1,9,9,3,
ODE2202,DEE,2,2,11,11,3,
ODE2207,DEE,2,2,1,1,0,
Q,DEE,1,1,3,3,0,
U,DEE,1,1,3,3,0,
Y,DEE,1,1,3,3,0,
ODE1106,DEE,DME,1,1,25,25,3,
ODM2111,DEE,DME,2,1,12,12,3,
1205,DIT,1,2,1,1,0,
BBM 1101,DIT,1,1,8,8,0,
BIT 1103,DIT,1,1,8,8,0,
DIT 1201,DIT,1,2,11,11,0,
DIT2103D,DIT,2,1,2,2,0,
ICT2210D,DIT,2,2,17,17,0,
DBM 1212,DJ,1,2,1,1,0,
DJ2111,DJ,2,1,32,32,3,
MSC1102D,DJ,1,1,4,4,3,
MSC1104D,DJ,1,1,4,4,3,
DLS2106,DLIS,2,1,1,1,3,
ICT2206D,DLIS,2,2,6,6,4,
ICT2208D,DLIS,2,2,6,6,4,
ODM1101,DME,1,1,14,14,3,
ODM1102,DME,1,1,13,13,3,
ODM1103,DME,1,1,12,12,3,
ODM1104,DME,1,1,14,14,3,
ODM1105,DME,1,1,13,13,3,
ODM1106,DME,1,1,10,10,3,
ODM1107,DME,1,1,12,12,3,
ODM1108,DME,1,1,14,14,3,
ODM1109,DME,1,1,5,5,3,
ODM1110,DME,1,1,3,3,3,
ODM1201,DME,1,2,16,16,3,
ODM1202,DME,1,2,14,14,3,
ODM1203,DME,1,2,15,15,3,
ODM1204,DME,1,2,14,14,3,
ODM1205,DME,1,2,14,14,3,
ODM1206,DME,1,2,17,17,3,
ODM1207,DME,1,2,15,15,3,
ODM1208,DME,1,2,15,15,3,
ODM1209,DME,1,2,10,10,3,
ODM2101,DME,2,1,9,9,3,
ODM2102,DME,2,1,7,7,3,
ODM2103,DME,2,1,11,11,3,
ODM2104,DME,2,1,8,8,3,
ODM2105,DME,2,1,10,10,3,
ODM2107,DME,2,1,11,11,3,
ODM2108,DME,2,1,7,7,3,
ODM2109,DME,2,1,12,12,3,
ODM2110,DME,2,1,2,2,3,
ODM2112,DME,2,1,6,6,3,
ODM2201,DME,2,2,11,11,3,
ODM2202,DME,2,2,10,10,3,
ODM2203,DME,2,2,11,11,3,
ODM2204,DME,2,2,5,5,3,
ODM2205,DME,2,2,11,11,3,
ODM2206,DME,2,2,5,5,3,
ODM2207,DME,2,2,11,11,3,
ODM2208,DME,2,2,7,7,3,
ODM2210,DME,2,2,2,2,3,
ODM2211,DME,2,1,4,4,3,
ODMC2111,DME,2,1,2,2,0,
DCU2102,DPE,2,1,1,1,3,
DEF11204,DPE,1,1,9,9,3,
DEF1301,DPE,1,1,1,1,3,
DEL1301,DPE,1,1,1,1,3,
DPE2303B,DPE,2,1,21,21,0,
DRE1302,DPE,1,1,1,1,3,
DSC2102,DPE,2,1,1,1,3,
DSS1201,DPE,1,1,2,2,3,
DSS1202,DPE,1,1,2,2,3,
DSS1302,DPE,1,1,1,1,3,
DSS2103D,DPE,2,1,2,2,0,
PEO1101,DPE,1,1,8,8,3,
Dec-01,DSE,2,1,19,19,3,
Dec-02,DSE,2,1,5,5,3,
Dec-03,DSE,2,1,5,5,3,
Dec-04,DSE,2,1,18,18,3,
Dec-05,DSE,2,2,19,19,3,
DH2205,DSE,2,2,1,1,3,
2107,SWSA,2,1,2,2,3,
BCS1101:,SWSA,1,1,1,1,0,
CGC101B,SWSA,2,1,5,5,0,
SWAS3106B,SWSA,3,1,1,1,0,
SWSA1106,SWSA,1,1,31,31,3,
SWSA2102,SWSA,2,1,24,24,3,
SWSA2105,SWSA,2,1,1,1,0,
SWSA2106,SWSA,2,1,6,6,3,
SWSA2107,SWSA,2,1,6,6,3,
SWSA2201,SWSA,2,2,1,1,0,
SWSA3101,SWSA,3,1,40,40,3,
SWSA3102,SWSA,3,1,13,13,3,
SWSA3103,SWSA,3,1,41,41,3,
SWSA3104,SWSA,3,1,41,41,3,
SWSA3105,SWSA,3,1,41,41,3,
SWSA3106,SWSA,3,1,41,41,3,
SWSA3107,SWSA,3,1,28,28,3,
SWSA3201,SWSA,3,2,41,41,3,
SWSA3202,SWSA,3,2,40,40,3,
SWSA3203,SWSA,3,2,42,42,3,
SWSA3204,SWSA,3,2,41,41,3,
SWSA3206,SWSA,3,2,41,41,3,
SWSA3207,SWSA,3,2,41,41,3,
SWSA3208,SWSA,3,2,15,15,3,
